employee_id,name,email,join_date,salary,department,country
1,Alice,alice@example.com,2025-01-15,50000,Sales,US
2,Bob,bob@example.com,2025-02-20,60000,HR,UK
3,Charlie,charlie@example,2025-13-01,-1000,IT,IN
4,David,,2025-03-10,70000,Finance,US
5,Eve,eve@example.com,,80000,Sales,USA
5,Eve,eve@example.com,,80000,Sales,USA
6,Frank,frank@example.com,2025-04-01,9999999,IT,IN
7,Grace,grace@example.com,2025-04-31,55000,Unknown,UK
8,Heidi,heidi@example.com,2025-05-15,,HR,
9,Ivan,ivan@example.com,2024-12-01,abc,IT,IN
10,Judy,judy@example.com,2025-06-01,65000,Sales,US
11,Mallory,mallory@@example.com,2025-06-15,72000,HR,UK
12,Oscar,oscar@example.com,2025/07/01,58000,IT,IND
13,Peggy,peggy@example.com,2025-07-20,58000,IT,IN
14,Trent,trent@example.com,1900-01-01,45000,Sales,US
15,Victor,victor@example.com,2035-01-01,50000,HR,UK
16,Walter,walter@example.com,2025-08-01,0,IT,IN
17,Alice,alice@example.com,2025-01-15,50000,Sales,US
